Voltage(V),Focused Laser,-2mm,-4mm Focus,-6mm Focus,+2mm,+4mm,+6mm Focus
0,0.000001539,0.00000146,0.00000135,0.000001113,0.000001562,0.000001541,0.000001583
0.05,0.000001528,0.000001456,0.000001348,0.000001128,0.000001525,0.000001541,0.000001565
0.1,0.000001489,0.000001458,0.000001319,0.000001099,0.000001541,0.000001527,0.000001576
0.2,0.000001471,0.00000142,0.000001291,0.000001091,0.000001507,0.000001498,0.000001545
0.3,0.000001446,0.000001393,0.000001302,0.000001063,0.000001482,0.000001496,0.000001517
0.5,0.0000014,0.000001352,0.000001234,0.000001033,0.00000144,0.000001435,0.000001478
0.7,0.000001369,0.000001287,0.000001184,9.85e-7,0.000001374,0.000001382,0.000001412
0.9,0.000001318,0.000001256,0.00000115,9.39e-7,0.000001311,0.000001309,0.00000136
1.1,0.000001245,0.000001176,0.000001063,8.66e-7,0.000001253,0.000001247,0.000001297
1.3,0.000001158,0.0000011,9.96e-7,7.82e-7,0.000001173,0.000001171,0.000001226
1.5,0.000001058,9.96e-7,8.88e-7,6.96e-7,0.00000107,0.00000106,0.000001109
1.7,8.89e-7,8.33e-7,7.37e-7,5.59e-7,9e-7,8.9e-7,9.34e-7
1.9,5.27e-7,5.4e-7,4.74e-7,3.44e-7,5.98e-7,5.9e-7,6.42e-7
2,2.47e-7,3.22e-7,2.72e-7,1.87e-7,3.71e-7,3.58e-7,4.15e-7
2.05,7.8e-8,1.73e-7,1.42e-7,8.3e-8,2.22e-7,2.14e-7,2.72e-7
2.1,-1.08e-7,2.3e-8,-1.3e-8,-3.2e-8,5.8e-8,4.6e-8,1e-7
2.2,-6.48e-7,-3.94e-7,-4.08e-7,-3.67e-7,-3.59e-7,-3.77e-7,-3.19e-7
2.4,-0.000002397,-0.000001837,-0.000001797,-0.0000016,-0.000001777,-0.000001816,-0.00000173
2.5,-0.000003875,-0.000003052,-0.000002978,-0.000002663,-0.000002968,-0.000003025,-0.000002923
